A082;BS;AGNOSINE;;C3AF;BS;BS;BS20;017003;17/03/1861;;
A083;BL;AGORDO;;D2AB;BL;BL;BL00;025001;19/11/1866;;
A084;RM;AGOSTA;;M1AC;RM;RM;RM20;058002;15/01/1871;;
A085;VA;AGRA;;C9AC;VA;VA;VA00;012001;17/03/1861;;
A087;MB;AGRATE BRIANZA;;C1AF;MI;MI;MI20;108001;04/02/1869;;
A088;NO;AGRATE CONTURBIA;;A5AE;NO;NO;NO00;003001;23/04/1863;;
A089;AG;AGRIGENTO;;U2AA;AG;AG;AG00;084001;17/03/1861;;
A091;SA;AGROPOLI;;Q5AC;SA;SA;SA00;065002;17/03/1861;;
A092;AN;AGUGLIANO;;K1AB;AN;AN;AN00;042001;17/03/1861;;
A093;VI;AGUGLIARO;;D7AB;VI;VI;VI00;024001;19/11/1866;;
A094;AO;AYAS;;B1AB;AO;AO;AO00;007007;17/03/1861;;
A096;MB;AICURZIO;;C1AG;MI;MI;MI20;108002;04/07/1909;;
A097;OR;AIDOMAGGIORE;;V4AC;OR;OR;OR00;095002;17/03/1861;;
A098;EN;AIDONE;;U5AC;EN;EN;EN00;086002;17/03/1861;;
A100;AQ;AIELLI;;N1AC;AQ;AQ;AQ00;066002;17/03/1861;;
A101;AV;AIELLO DEL SABATO;;Q2AB;AV;AV;AV00;064001;16/01/1864;;
A102;CS;AIELLO CALABRO;;T3AE;CS;CS;CS00;078004;19/05/1928;;
A103;UD;AIELLO DEL FRIULI;;F6AB;UD;UD;;030001;05/01/1921;;
A105;CS;AIETA;;T3AG;CS;CS;CS00;078005;17/03/1861;;
A106;CE;AILANO;;Q4AC;CE;CE;CE00;061001;17/03/1861;;
A107;BI;AILOCHE;;A6AC;BI;BI;BI00;096001;17/03/1861;;
A108;AO;AYMAVILLES;;B1AC;AO;AO;AO00;007008;17/03/1861;;
A109;TO;AIRASCA;;A1AD;TO;TO;TO50;001002;26/05/1893;;
A110;BN;AIROLA;;Q3AB;BN;BN;BN00;062001;17/03/1861;;
A111;IM;AIROLE;;G2AB;IM;IM;IM10;008001;17/03/1861;;
A112;LC;AIRUNO;;C4AE;LC;LC;LC00;097002;17/03/1861;;
A113;CN;AISONE;;A4AC;CN;CN;CN00;004002;17/03/1861;;
A115;SS;ALA' DEI SARDI;;V3AC;SS;SS;SS00;090002;14/01/1864;;
A116;TN;ALA;;E1AC;;;;022001;16/10/1920;;
A117;TO;ALA DI STURA;;A1AE;TO;TO;TO20;001003;11/03/1864;;
A118;PV;ALAGNA;;C7AB;PV;PV;PV10;018001;17/03/1861;;
A119;VC;ALAGNA VALSESIA;;A6AD;VC;VC;VC00;002002;07/11/1864;;
A120;PE;ALANNO;;N3AC;PE;PE;PE00;068002;17/03/1861;;
A122;SV;ALASSIO;;G4AB;SV;SV;SV10;009001;17/03/1861;;
A123;FR;ALATRI;;M2AD;FR;FR;FR00;060003;15/01/1871;;
A124;CN;ALBA;;A4AD;CN;CN;CN10;004003;17/03/1861;;
A125;TE;ALBA ADRIATICA;;N4AB;TE;TE;TE00;067001;29/07/1956;;
A126;OR;ALBAGIARA;;V4AD;OR;OR;OR00;095003;17/03/1861;;
A127;MI;ALBAIRATE;;C1AH;MI;MI;PV00;015005;17/03/1861;;
A128;SA;ALBANELLA;;Q5AD;SA;SA;SA00;065003;17/03/1861;;
A129;BG;ALBANO SANT'ALESSANDRO;;C2AD;BG;BG;BG00;016003;13/07/1863;;
A130;VC;ALBANO VERCELLESE;;A6AE;VC;VC;VC00;002003;29/12/1862;;
A131;PZ;ALBANO DI LUCANIA;;S1AD;PZ;PZ;PZ00;076003;10/04/1863;;
A132;RM;ALBANO LAZIALE;;M1AD;RM;RM;RM20;058003;02/10/1872;;
A135;SO;ALBAREDO PER SAN MARCO;;C8AC;SO;SO;SO00;014001;13/07/1863;;
A137;VR;ALBAREDO D'ADIGE;;D6AC;VR;VR;VR00;023002;26/08/1867;;
A138;PR;ALBARETO;;H5AB;PR;PR;PR00;034001;20/10/1862;;
A139;CN;ALBARETTO DELLA TORRE;;A4AE;CN;CN;CN10;004004;19/12/1862;;
A143;CO;ALBAVILLA;;C4AH;CO;CO;CO00;013003;29/07/1928;;
A145;SV;ALBENGA;;G4AC;SV;SV;SV10;009002;17/03/1861;;
A146;AL;ALBERA LIGURE;;A2AC;AL;AL;AL30;006002;26/01/1863;;
A149;BA;ALBEROBELLO;;R1AD;BA;BA;BA00;072003;28/01/1895;;
A150;FG;ALBERONA;;R3AC;FG;FG;FG10;071002;17/03/1861;;
A153;CO;ALBESE CON CASSANO;;C4AJ;CO;CO;CO00;013004;23/09/1928;;
A154;VI;ALBETTONE;;D7AC;VI;VI;VI00;024002;19/11/1866;;
A155;CZ;ALBI;;T2AC;CZ;CZ;CZ00;079002;17/03/1861;;
A157;TO;ALBIANO D'IVREA;;A1AF;TO;TO;TO40;001004;05/01/1863;;
A158;TN;ALBIANO;;E1AD;;;;022002;16/10/1920;;
A159;MB;ALBIATE;;C1AI;MI;MI;MI20;108003;17/03/1861;;
A160;CS;ALBIDONA;;T3AH;CS;CS;CS00;078006;17/03/1861;;
A161;PD;ALBIGNASEGO;;D3AD;PD;PD;PD00;028003;19/11/1866;;
A162;RE;ALBINEA;;H8AB;RE;RE;RE00;035001;17/03/1861;;
A163;BG;ALBINO;;C2AF;BG;BG;BG00;016004;17/03/1861;;
A164;CO;ALBIOLO;;C4AK;CO;CO;CO00;013005;17/03/1861;;
A165;SV;ALBISSOLA MARINA;;G4AK;SV;SV;SV00;009003;17/03/1861;;
A166;SV;ALBISOLA SUPERIORE;;G4AE;SV;SV;SV00;009004;17/03/1861;;
A167;VA;ALBIZZATE;;C9AD;VA;VA;MI20;012002;11/03/1869;;
A171;PV;ALBONESE;;C7AD;PV;PV;PV10;018003;17/03/1861;;
A172;SO;ALBOSAGGIA;;C8AD;SO;SO;SO00;014002;17/03/1861;;
A173;AT;ALBUGNANO;;A3AC;AT;AT;AT00;005002;17/03/1861;;
